symbol,total_trades,winning_trades,losing_trades,hit_rate,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,win_loss_ratio,profit_factor,expected_value_pct,avg_mfe_pct,avg_mae_pct,mfe_mae_ratio,avg_holding_days,sharpe_ratio,sortino_ratio,max_drawdown_pct,annualized_return_pct,buy_hold_return_pct,strategy_return_pct,outperformance_pct,trades,market_cap_cr,sector,industry,pe_ratio,pb_ratio,debt_to_equity,roe
SMALLCAP.NS,2,1,1,50.0,13.08,-5.61,13.08,-5.61,2.33,2.33,3.73,7.31,-2.81,2.6,27.5,0.4,inf,5.61,9.58,-13.88,6.73,20.61,"[{'entry_time': datetime.date(2025, 4, 1), 'entry_price': 41.689998626708984, 'exit_time': datetime.date(2025, 4, 7), 'exit_price': 39.349998474121094, 'max_gain_pct': 1.5351480581140644, 'max_loss_pct': -5.6128573510884054, 'shares': 1, 'profit_pct': -5.6128573510884054, 'holding_days': 6}, {'entry_time': datetime.date(2025, 4, 11), 'entry_price': 40.61000061035156, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(45.91999816894531), 'max_gain_pct': 13.075590935204817, 'max_loss_pct': 0, 'shares': 1, 'profit_pct': np.float64(13.075590935204817), 'holding_days': 49}]",0.0,Unknown,Unknown,28.624147,0.0,0.0,0.0
IT.NS,1,0,1,0.0,0.0,-1.85,0.0,-1.85,0.0,0.0,-1.85,0.0,-2.94,0.0,18.0,0.0,-inf,1.85,-2.56,-9.46,-1.85,7.61,"[{'entry_time': datetime.date(2025, 5, 12), 'entry_price': 41.150001525878906, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(40.38999938964844), 'max_gain_pct': 0, 'max_loss_pct': -2.940468661730087, 'shares': 1, 'profit_pct': np.float64(-1.8469067024274823), 'holding_days': 18}]",0.0,Unknown,Unknown,28.174225,0.0,0.0,0.0
INDOWIND.NS,5,2,3,40.0,78.12,-28.07,132.79,-28.96,2.78,1.86,14.41,54.61,-24.15,2.26,198.2,0.23,17.02,49.07,1.49,730.07,6.95,-723.12,"[{'entry_time': datetime.date(2024, 4, 24), 'entry_price': 23.799999237060547, 'exit_time': datetime.date(2025, 3, 6), 'exit_price': 17.389999389648438, 'max_gain_pct': 38.57143109013633, 'max_loss_pct': -33.78150952063519, 'shares': 1, 'profit_pct': -26.93277333148262, 'holding_days': 316}, {'entry_time': datetime.date(2025, 4, 4), 'entry_price': 16.969999313354492, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(20.950000762939453), 'max_gain_pct': 30.053038231158304, 'max_loss_pct': -5.362403560594063, 'shares': 1, 'profit_pct': np.float64(23.45316211328842), 'holding_days': 56}]",272.9390592,Utilities,Utilities - Renewable,43.061226,0.94007576,6.609,0.0
GENUSPAPER.NS,1,1,0,100.0,14.37,0.0,14.37,0.0,inf,inf,14.37,66.09,-26.72,2.47,1102.0,0.0,0.0,0.0,3.01,314.58,14.37,-300.21,"[{'entry_time': datetime.date(2022, 5, 24), 'entry_price': 17.399999618530273, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(19.899999618530273), 'max_gain_pct': 66.09195547195863, 'max_loss_pct': -26.724136324567603, 'shares': 1, 'profit_pct': np.float64(14.367816406947528), 'holding_days': 1102}]",512.9662976,Basic Materials,Paper & Paper Products,166.08334,0.89005,73.444,0.0
SIMBHALS.NS,5,2,3,40.0,41.67,-26.53,68.95,-42.93,1.57,1.05,0.75,35.7,-18.97,1.88,223.2,0.02,0.05,62.49,-6.85,188.5,-27.5,-216.0,"[{'entry_time': datetime.date(2022, 9, 9), 'entry_price': 23.200000762939453, 'exit_time': datetime.date(2025, 2, 28), 'exit_price': 13.239999771118164, 'max_gain_pct': 54.31033646450909, 'max_loss_pct': -42.93103734604943, 'shares': 1, 'profit_pct': -42.93103734604943, 'holding_days': 903}, {'entry_time': datetime.date(2025, 4, 21), 'entry_price': 14.25, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(16.299999237060547), 'max_gain_pct': 16.280699612801534, 'max_loss_pct': -8.561405382658306, 'shares': 1, 'profit_pct': np.float64(14.385959558319627), 'holding_days': 39}]",67.6562432,Consumer Defensive,Confectioners,7.212389,-0.4324984,0.0,0.0
THEJO.NS,5,3,2,60.0,38.29,-15.86,63.82,-18.87,2.41,3.62,16.63,48.11,-10.98,4.38,194.8,0.55,5.53,29.3,14.43,437.53,81.86,-355.67,"[{'entry_time': datetime.date(2024, 11, 29), 'entry_price': 2172.64990234375, 'exit_time': datetime.date(2025, 1, 31), 'exit_price': 1762.75, 'max_gain_pct': 3.9698066359866653, 'max_loss_pct': -23.67384883136345, 'shares': 1, 'profit_pct': -18.866357709153682, 'holding_days': 63}, {'entry_time': datetime.date(2025, 2, 28), 'entry_price': 1636.8499755859375, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(1930.5), 'max_gain_pct': 26.98170455456473, 'max_loss_pct': -5.1562467955470455, 'shares': 1, 'profit_pct': np.float64(17.939947386378254), 'holding_days': 91}]",2072.1276928,Industrials,Specialty Industrial Machinery,44.121017,7.686073,13.786,0.0
COCHINSHIP.NS,5,4,1,80.0,92.81,-10.37,195.74,-10.37,8.95,35.8,72.18,124.98,-11.95,10.46,212.0,0.99,inf,10.37,65.43,1215.93,878.45,-337.48,"[{'entry_time': datetime.date(2024, 3, 15), 'entry_price': 884.2918090820312, 'exit_time': datetime.date(2024, 9, 24), 'exit_price': 1786.40185546875, 'max_gain_pct': 221.5901838160157, 'max_loss_pct': -2.0944577314686392, 'shares': 1, 'profit_pct': 102.01497256015347, 'holding_days': 193}, {'entry_time': datetime.date(2024, 12, 5), 'entry_price': 1677.861083984375, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(1947.0999755859375), 'max_gain_pct': 21.321126940500275, 'max_loss_pct': -27.505918863229045, 'shares': 1, 'profit_pct': np.float64(16.046554400213374), 'holding_days': 176}]",51171.6851712,Industrials,Aerospace & Defense,61.623333,9.161658,10.044,0.15636
SINDHUTRAD.NS,4,1,3,25.0,21.85,-21.69,21.85,-27.72,1.01,0.34,-10.81,14.85,-19.18,0.77,77.5,-0.56,-2.34,52.24,-30.95,-25.19,-41.81,-16.62,"[{'entry_time': datetime.date(2024, 8, 19), 'entry_price': 20.600000381469727, 'exit_time': datetime.date(2025, 2, 28), 'exit_price': 14.890000343322754, 'max_gain_pct': 35.485433643573764, 'max_loss_pct': -27.71844627383248, 'shares': 1, 'profit_pct': -27.71844627383248, 'holding_days': 193}, {'entry_time': datetime.date(2025, 3, 26), 'entry_price': 17.989999771118164, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(21.920000076293945), 'max_gain_pct': 23.902174536503143, 'max_loss_pct': -11.117287523321021, 'shares': 1, 'profit_pct': np.float64(21.84547167968926), 'holding_days': 65}]",3332.5430784,Industrials,Conglomerates,180.08334,2.2649617,17.312,0.05627
PGIL.NS,1,1,0,100.0,42.18,0.0,42.18,0.0,inf,inf,42.18,42.18,0.0,inf,23.0,0.0,0.0,0.0,8.08,1786.37,42.18,-1744.19,"[{'entry_time': datetime.date(2025, 5, 7), 'entry_price': 1024.0394287109375, 'exit_time': datetime.date(2025, 5, 30), 'exit_price': np.float64(1456.0), 'max_gain_pct': 42.18202533791254, 'max_loss_pct': 0, 'shares': 1, 'profit_pct': np.float64(42.18202533791254), 'holding_days': 23}]",6701.7773056,Consumer Cyclical,Apparel Manufacturing,27.589405,5.7018504,67.421,0.23501
KABRAEXTRU.NS,2,1,1,50.0,23.9,-5.95,23.9,-5.95,4.02,4.02,8.98,66.21,-6.35,10.42,438.5,0.6,inf,5.95,3.43,252.6,16.53,-236.07,"[{'entry_time': datetime.date(2022, 7, 7), 'entry_price': 346.14605712890625, 'exit_time': datetime.date(2024, 3, 12), 'exit_price': 325.5489807128906, 'max_gain_pct': 79.29681197660413, 'max_loss_pct': -5.9504004138765, 'shares': 1, 'profit_pct': -5.9504004138765, 'holding_days': 614}, {'entry_time': datetime.date(2024, 4, 25), 'entry_price': 375.1375427246094, 'exit_time': datetime.date(2025, 1, 13), 'exit_price': 464.79998779296875, 'max_gain_pct': 53.117179432966765, 'max_loss_pct': -6.754781591745281, 'shares': 1, 'profit_pct': 23.901218848197527, 'holding_days': 263}]",930.2639616,Industrials,Specialty Industrial Machinery,28.773073,2.0015712,27.73,0.07044
