,symbol,Date,Current_price,signal,total_return_pct,total_trades,winning_trades,losing_trades,win_rate,total_wins_pct,total_losses_pct,avg_win_pct,avg_loss_pct,max_win_pct,max_loss_pct,profit_factor,avg_holding_days,max_holding_days,min_holding_days,max_consecutive_wins,max_consecutive_losses,trades_detail,market_cap_cr,sector,industry,pe_ratio,pb_ratio,debt_to_equity,roe
0,PPL.NS,2025-05-30,405.3500061035156,Sell,190.9884430602722,2,2,0,100.0,191.39834212847896,0.0,90.47248676101054,0.0,183.97891087628173,7.41943125219726,inf,615.5,780,451,2,0,"[{'entry_date': datetime.date(2022, 1, 7), 'exit_date': datetime.date(2023, 4, 3), 'entry_price': 131.30645751953125, 'exit_price': 141.4425048828125, 'shares': 753, 'initial_investment': 98873.76251220703, 'final_value': 106293.19376440429, 'profit': 7419.431252197261, 'profit_pct': 7.50394347669459, 'reason': 'Signal', 'holding_days': 451}, {'entry_date': datetime.date(2023, 4, 11), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 147.9438934326172, 'exit_price': 405.3500061035156, 'shares': 717, 'initial_investment': 106075.77159118652, 'final_value': 290054.68246746826, 'profit': 183978.91087628173, 'profit_pct': 173.4410300453265, 'reason': 'Signal', 'holding_days': 780}]",970.3673856,Industrials,Building Products & Equipment,9.872138,2.3620143,14.133,0
1,DISHTV.NS,2025-05-30,6.28000020980835,Buy,-16.97320511429978,4,1,3,25.0,6.537912371852872,22.74371107294464,6.60453881774081,7.607529504701276,6.537912371852872,14.355289769599914,0.2874602280553155,321.5,867,0,1,3,"[{'entry_date': datetime.date(2021, 4, 20), 'exit_date': datetime.date(2021, 4, 26), 'entry_price': 8.800000190734863, 'exit_price': 9.399999618530273, 'shares': 11249, 'initial_investment': 98991.20214557648, 'final_value': 105529.11451742935, 'profit': 6537.912371852872, 'profit_pct': 6.60453881774081, 'reason': 'Signal', 'holding_days': 6}, {'entry_date': datetime.date(2021, 5, 6), 'exit_date': datetime.date(2022, 6, 23), 'entry_price': 11.800000190734863, 'exit_price': 10.899999618530273, 'shares': 8921, 'initial_investment': 105267.80170154572, 'final_value': 97044.41880371475, 'profit': -8223.382897830961, 'profit_pct': -7.81186912323468, 'reason': 'Signal', 'holding_days': 413}, {'entry_date': datetime.date(2022, 7, 5), 'exit_date': datetime.date(2024, 11, 18), 'entry_price': 12.5, 'exit_price': 10.670000076293945, 'shares': 7754, 'initial_investment': 96925.0, 'final_value': 82569.71023040009, 'profit': -14355.289769599913, 'profit_pct': -14.81071939086914, 'reason': 'Signal', 'holding_days': 867}, {'entry_date': datetime.date(2025, 5, 30), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 6.28000020980835, 'exit_price': np.float64(6.28000020980835), 'shares': 13140, 'initial_investment': 82519.20275688171, 'final_value': np.float64(82354.16435136794), 'profit': np.float64(-165.03840551376925), 'profit_pct': np.float64(-0.20000000000000706), 'reason': 'End of Data', 'holding_days': 0}]",1158.1513728,Communication Services,Entertainment,0.0,-0.4420045,0.0,0
2,CONCORDBIO.NS,2025-05-30,1748.5,Buy,-16.695814410888662,2,0,2,0.0,0.0,16.33360320849609,0.0,8.272385251700706,-0.16435899999999673,16.169244208496092,0.0,60.0,120,0,0,2,"[{'entry_date': datetime.date(2024, 10, 17), 'exit_date': datetime.date(2025, 2, 14), 'entry_price': 2018.9000244140625, 'exit_price': 1692.300048828125, 'shares': 49, 'initial_investment': 98926.10119628906, 'final_value': 82756.85698779297, 'profit': -16169.244208496093, 'profit_pct': -16.344770503401417, 'reason': 'Signal', 'holding_days': 120}, {'entry_date': datetime.date(2025, 5, 30), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 1748.5, 'exit_price': np.float64(1748.5), 'shares': 47, 'initial_investment': 82179.5, 'final_value': np.float64(82015.141), 'profit': np.float64(-164.35899999999674), 'profit_pct': np.float64(-0.19999999999999601), 'reason': 'End of Data', 'holding_days': 0}]",18292.1068544,Healthcare,Biotechnology,49.2674,11.503819,0.215,0
3,SABEVENTS.NS,2025-05-30,5.71999979019165,Buy,1443.9042509788123,20,8,12,40.0,2311.2963167207563,837.6674838356623,174.690287582565,9.860552244708233,953.4494544237042,182.68297228190514,2.7592050083374104,42.1,328,0,4,5,"[{'entry_date': datetime.date(2021, 2, 1), 'exit_date': datetime.date(2021, 3, 16), 'entry_price': 1.4500000476837158, 'exit_price': 1.149999976158142, 'shares': 68275, 'initial_investment': 98998.7532556057, 'final_value': 78359.21587545276, 'profit': -20639.537380152935, 'profit_pct': -20.848280105976226, 'reason': 'Signal', 'holding_days': 43}, {'entry_date': datetime.date(2021, 3, 25), 'exit_date': datetime.date(2022, 2, 16), 'entry_price': 1.2999999523162842, 'exit_price': 17.149999618530273, 'shares': 60285, 'initial_investment': 78370.49712538719, 'final_value': 1031819.9515490914, 'profit': 953449.4544237042, 'profit_pct': 1216.592326699489, 'reason': 'Signal', 'holding_days': 328}, {'entry_date': datetime.date(2022, 6, 20), 'exit_date': datetime.date(2022, 6, 24), 'entry_price': 9.600000381469727, 'exit_price': 7.900000095367432, 'shares': 106471, 'initial_investment': 1022121.6406154633, 'final_value': 839438.6683335581, 'profit': -182682.97228190512, 'profit_pct': -17.87291893867973, 'reason': 'Signal', 'holding_days': 4}, {'entry_date': datetime.date(2022, 7, 6), 'exit_date': datetime.date(2022, 7, 14), 'entry_price': 6.900000095367432, 'exit_price': 6.650000095367432, 'shares': 121630, 'initial_investment': 839247.0115995407, 'final_value': 807221.8325763416, 'profit': -32025.179023199133, 'profit_pct': -3.8159419790082527, 'reason': 'Signal', 'holding_days': 8}, {'entry_date': datetime.date(2022, 7, 26), 'exit_date': datetime.date(2022, 11, 23), 'entry_price': 6.300000190734863, 'exit_price': 5.050000190734863, 'shares': 127918, 'initial_investment': 805883.4243984222, 'final_value': 644693.9525496254, 'profit': -161189.47184879682, 'profit_pct': -20.001586702086833, 'reason': 'Signal', 'holding_days': 120}, {'entry_date': datetime.date(2022, 12, 12), 'exit_date': datetime.date(2023, 1, 13), 'entry_price': 5.550000190734863, 'exit_price': 4.699999809265137, 'shares': 116164, 'initial_investment': 644710.2221565247, 'final_value': 544878.8362877883, 'profit': -99831.38586873631, 'profit_pct': -15.484691018982936, 'reason': 'Signal', 'holding_days': 32}, {'entry_date': datetime.date(2023, 5, 3), 'exit_date': datetime.date(2023, 5, 9), 'entry_price': 4.699999809265137, 'exit_price': 4.099999904632568, 'shares': 115872, 'initial_investment': 544598.3778991699, 'final_value': 474125.0385716858, 'profit': -70473.33932748414, 'profit_pct': -12.940424023909225, 'reason': 'Signal', 'holding_days': 6}, {'entry_date': datetime.date(2023, 6, 7), 'exit_date': datetime.date(2023, 6, 13), 'entry_price': 3.75, 'exit_price': 3.9000000953674316, 'shares': 126334, 'initial_investment': 473752.5, 'final_value': 491717.2068240528, 'profit': 17964.706824052788, 'profit_pct': 3.7920025380452422, 'reason': 'Signal', 'holding_days': 6}, {'entry_date': datetime.date(2023, 6, 23), 'exit_date': datetime.date(2023, 6, 27), 'entry_price': 3.9000000953674316, 'exit_price': 3.700000047683716, 'shares': 125795, 'initial_investment': 490600.51199674606, 'final_value': 464510.6229863763, 'profit': -26089.889010369778, 'profit_pct': -5.317949813012592, 'reason': 'Signal', 'holding_days': 4}, {'entry_date': datetime.date(2023, 7, 5), 'exit_date': datetime.date(2023, 7, 6), 'entry_price': 3.450000047683716, 'exit_price': 3.450000047683716, 'shares': 134435, 'initial_investment': 463800.75641036034, 'final_value': 462873.15489753964, 'profit': -927.6015128206927, 'profit_pct': -0.199999999999994, 'reason': 'Signal', 'holding_days': 1}, {'entry_date': datetime.date(2023, 9, 8), 'exit_date': datetime.date(2023, 9, 27), 'entry_price': 4.449999809265137, 'exit_price': 4.400000095367432, 'shares': 103812, 'initial_investment': 461963.3801994324, 'final_value': 455859.26428048324, 'profit': -6104.11591894913, 'profit_pct': -1.321341946262915, 'reason': 'Signal', 'holding_days': 19}, {'entry_date': datetime.date(2023, 10, 17), 'exit_date': datetime.date(2023, 11, 8), 'entry_price': 4.400000095367432, 'exit_price': 4.75, 'shares': 103410, 'initial_investment': 455004.0098619461, 'final_value': 490215.105, 'profit': 35211.095138053875, 'profit_pct': 7.7386340284643556, 'reason': 'Signal', 'holding_days': 22}, {'entry_date': datetime.date(2023, 12, 4), 'exit_date': datetime.date(2024, 2, 28), 'entry_price': 4.449999809265137, 'exit_price': 7.800000190734863, 'shares': 109879, 'initial_investment': 488961.52904224396, 'final_value': 855342.1085158405, 'profit': 366380.57947359653, 'profit_pct': 74.93034885407988, 'reason': 'Signal', 'holding_days': 86}, {'entry_date': datetime.date(2024, 4, 22), 'exit_date': datetime.date(2024, 5, 24), 'entry_price': 7.800000190734863, 'exit_price': 10.199999809265137, 'shares': 109065, 'initial_investment': 850707.0208024979, 'final_value': 1110238.0532391071, 'profit': 259531.03243660927, 'profit_pct': 30.50768667593524, 'reason': 'Signal', 'holding_days': 32}, {'entry_date': datetime.date(2024, 6, 19), 'exit_date': datetime.date(2024, 7, 25), 'entry_price': 9.739999771118164, 'exit_price': 9.800000190734863, 'shares': 113548, 'initial_investment': 1105957.4940109253, 'final_value': 1110544.880814247, 'profit': 4587.386803321773, 'profit_pct': 0.41478870826083086, 'reason': 'Signal', 'holding_days': 36}, {'entry_date': datetime.date(2024, 8, 28), 'exit_date': datetime.date(2024, 9, 11), 'entry_price': 12.970000267028809, 'exit_price': 11.149999618530273, 'shares': 85452, 'initial_investment': 1108312.4628181458, 'final_value': 950884.1878678437, 'profit': -157428.2749503021, 'profit_pct': -14.204322357794622, 'reason': 'Signal', 'holding_days': 14}, {'entry_date': datetime.date(2024, 9, 20), 'exit_date': datetime.date(2024, 10, 29), 'entry_price': 11.079999923706055, 'exit_price': 14.800000190734863, 'shares': 85764, 'initial_investment': 950265.1134567261, 'final_value': 1266768.6019254685, 'profit': 316503.48846874246, 'profit_pct': 33.306861841682846, 'reason': 'Signal', 'holding_days': 39}, {'entry_date': datetime.date(2024, 10, 30), 'exit_date': datetime.date(2024, 11, 18), 'entry_price': 14.5, 'exit_price': 13.640000343322754, 'shares': 87015, 'initial_investment': 1261717.5, 'final_value': 1184510.860614481, 'profit': -77206.63938551908, 'profit_pct': -6.119170050785463, 'reason': 'Signal', 'holding_days': 19}, {'entry_date': datetime.date(2024, 11, 25), 'exit_date': datetime.date(2024, 12, 18), 'entry_price': 15.180000305175781, 'exit_price': 19.809999465942383, 'shares': 77917, 'initial_investment': 1182780.0837783813, 'final_value': 1540448.6569310569, 'profit': 357668.5731526755, 'profit_pct': 30.23965131456274, 'reason': 'Signal', 'holding_days': 23}, {'entry_date': datetime.date(2025, 5, 30), 'exit_date': datetime.date(2025, 5, 30), 'entry_price': 5.71999979019165, 'exit_price': np.float64(5.71999979019165), 'shares': 268276, 'initial_investment': 1534538.6637134552, 'final_value': np.float64(1531469.5863860282), 'profit': np.float64(-3069.0773274269886), 'profit_pct': np.float64(-0.2000000000000051), 'reason': 'End of Data', 'holding_days': 0}]",5.996676,Communication Services,Publishing,0.0,0.0,0.0,0
